Growth_Function,Income_Function,Fee,Year,Age,Interest,Account,Cash,Surrender,Withdrawal,Income,Death
acct,alzretn,0.0125,0,60,0,100000,100000,100000,0,0,100000
acct,alzretn,0.0125,1,61,0.08,106650,98118,87596,0.052,0,106650
acct,alzretn,0.0125,2,62,0.08,113742,105780,87609,0.0575,0,113742
acct,alzretn,0.0125,3,63,0,112320,105581,87533,0.063,0,112320
acct,alzretn,0.0125,4,64,0.08,119790,113800,87474,0.0685,0,119790
acct,alzretn,0.0125,5,65,0.08,118182,113455,78319,0.074,8864,118182
acct,alzretn,0.0125,6,66,0,107131,103917,68321,0,9574,107131
acct,alzretn,0.0125,7,67,0.08,103916,103916,58308,0,9574,103916
acct,alzretn,0.0125,8,68,0.08,99660,99660,47402,0,10339,99660
acct,alzretn,0.0125,9,69,0.08,94227,94227,35541,0,11167,94227
acct,alzretn,0.0125,10,70,0,80989,80989,22657,0,12060,80989
acct,alzretn,0.0125,11,71,0.08,73350,73350,9740,0,12060,73350
acct,alzretn,0.0125,12,72,0.08,64161,64161,0,0,13025,64161
acct,alzretn,0.0125,13,73,0,49293,49293,0,0,14067,49293
acct,alzretn,0.0125,14,74,0.08,37379,37379,0,0,14067,37379
acct,alzretn,0.0125,15,75,0.08,23457,23457,0,0,15192,23457
acct,alzretn,0.0125,16,76,0,6756,6756,0,0,16407,6756
acct,alzretn,0.0125,17,77,0.08,0,0,0,0,16407,0
acct,alzretn,0.0125,18,78,0.08,0,0,0,0,17720,0
acct,alzretn,0.0125,19,79,0.08,0,0,0,0,19138,0
acct,alzretn,0.0125,20,80,0,0,0,0,0,20669,0
acct,alzretn,0.0125,21,81,0.08,0,0,0,0,20669,0
acct,alzretn,0.0125,22,82,0.08,0,0,0,0,22322,0
acct,alzretn,0.0125,23,83,0,0,0,0,0,24108,0
acct,alzretn,0.0125,24,84,0.08,0,0,0,0,24108,0
acct,alzretn,0.0125,25,85,0.08,0,0,0,0,26037,0
acct,alzretn,0.0125,26,86,0,0,0,0,0,28120,0
acct,alzretn,0.0125,27,87,0.08,0,0,0,0,28120,0
acct,alzretn,0.0125,28,88,0.08,0,0,0,0,30369,0
acct,alzretn,0.0125,29,89,0.08,0,0,0,0,32799,0
acct,alzretn,0.0125,30,90,0,0,0,0,0,35422,0
