Year,Age,Interest,Credit,Account,Cash,Surrender,Withdrawal,Income,Death Benefit
0,60,0,0,100000,100000,100000,0,0,0
1,61,0.065,0.0975,108323,97491,87545,0.045,0,108323
2,62,0.065,0.0975,117339,105605,87482,0.049,0,117339
3,63,0,0,115814,105680,87300,0.053,0,115814
4,64,0.065,0.0975,125453,116044,87135,0.057,0,125453
5,65,0.065,0.065,123721,115988,79070,0.061,7653,123721
6,66,0,0,114460,108737,70902,0,7653,114460
7,67,0.065,0.065,112165,107959,62730,0,7653,112165
8,68,0.065,0.065,109753,107009,54460,0,7653,109753
9,69,0.065,0.065,107217,105877,46094,0,7653,107217
10,70,0,0,98170,98170,37632,0,7653,98170
11,71,0.065,0.065,95042,95042,29157,0,7653,95042
12,72,0.065,0.065,91754,91754,20592,0,7653,91754
13,73,0,0,82909,82909,11937,0,7653,82909
14,74,0.065,0.065,79000,79000,3264,0,7653,79000
15,75,0.065,0.065,74891,74891,0,0,7653,74891
16,76,0,0,66265,66265,0,0,7653,66265
17,77,0.065,0.065,61504,61504,0,0,7653,61504
18,78,0.065,0.065,56501,56501,0,0,7653,56501
19,79,0.065,0.065,51241,51241,0,0,7653,51241
20,80,0,0,42922,42922,0,0,7653,42922
21,81,0.065,0.065,36968,36968,0,0,7653,36968
22,82,0.065,0.065,30709,30709,0,0,7653,30709
23,83,0,0,22657,22657,0,0,7653,22657
24,84,0.065,0.065,15666,15666,0,0,7653,15666
25,85,0.065,0.065,8317,8317,0,0,7653,8317
26,86,0,0,556,556,0,0,7653,556
27,87,0.065,0.065,0,0,0,0,7653,0
28,88,0.065,0.065,0,0,0,0,7653,0
29,89,0.065,0.065,0,0,0,0,7653,0
30,90,0,0,0,0,0,0,7653,0
