Growth_Function,Income_Function,Fee,Year,Age,Interest,Account,Cash,Surrender,Withdrawal,Income,Death
acct,levl,0.0125,0,60,0,100000,100000,100000,0,0,100000
acct,levl,0.0125,1,61,0.085,107144,100715,87596,0.068,0,107144
acct,levl,0.0125,2,62,0.085,114798,109058,87603,0.0735,0,114798
acct,levl,0.0125,3,63,0,113363,108828,87514,0.079,0,113363
acct,levl,0.0125,4,64,0.085,121461,117817,87441,0.0845,0,121461
acct,levl,0.0125,5,65,0.085,118277,115912,76165,0.09,10932,118277
acct,levl,0.0125,6,66,0,105867,104809,64754,0,10932,105867
acct,levl,0.0125,7,67,0.085,101570,101570,53322,0,10932,101570
acct,levl,0.0125,8,68,0.085,96965,96965,41767,0,10932,96965
acct,levl,0.0125,9,69,0.085,92031,92031,30091,0,10932,92031
acct,levl,0.0125,10,70,0,79949,79949,18297,0,10932,79949
acct,levl,0.0125,11,71,0.085,73800,73800,6472,0,10932,73800
acct,levl,0.0125,12,72,0.085,67211,67211,0,0,10932,67211
acct,levl,0.0125,13,73,0,55440,55440,0,0,10932,55440
acct,levl,0.0125,14,74,0.085,47539,47539,0,0,10932,47539
acct,levl,0.0125,15,75,0.085,39075,39075,0,0,10932,39075
acct,levl,0.0125,16,76,0,27655,27655,0,0,10932,27655
acct,levl,0.0125,17,77,0.085,17770,17770,0,0,10932,17770
acct,levl,0.0125,18,78,0.085,7179,7179,0,0,10932,7179
acct,levl,0.0125,19,79,0.085,0,0,0,0,10932,0
acct,levl,0.0125,20,80,0,0,0,0,0,10932,0
acct,levl,0.0125,21,81,0.085,0,0,0,0,10932,0
acct,levl,0.0125,22,82,0.085,0,0,0,0,10932,0
acct,levl,0.0125,23,83,0,0,0,0,0,10932,0
acct,levl,0.0125,24,84,0.085,0,0,0,0,10932,0
acct,levl,0.0125,25,85,0.085,0,0,0,0,10932,0
acct,levl,0.0125,26,86,0,0,0,0,0,10932,0
acct,levl,0.0125,27,87,0.085,0,0,0,0,10932,0
acct,levl,0.0125,28,88,0.085,0,0,0,0,10932,0
acct,levl,0.0125,29,89,0.085,0,0,0,0,10932,0
acct,levl,0.0125,30,90,0,0,0,0,0,10932,0
