Growth_Function,Income_Function,Fee,Year,Age,Interest,Account,Cash,Surrender,Withdrawal,Income,Death
acct,alzretn,0.0125,0,60,0,100000,100000,100000,0,0,100000
acct,alzretn,0.0125,1,61,0.085,107144,100715,87596,0.057,0,107144
acct,alzretn,0.0125,2,62,0.085,114798,109058,87603,0.0625,0,114798
acct,alzretn,0.0125,3,63,0,113363,108828,87514,0.068,0,113363
acct,alzretn,0.0125,4,64,0.085,121461,117817,87441,0.0735,0,121461
acct,alzretn,0.0125,5,65,0.085,119727,117333,77522,0.079,9595,119727
acct,alzretn,0.0125,6,66,0,107819,106741,66642,0,10411,107819
acct,alzretn,0.0125,7,67,0.085,104226,104226,55743,0,10411,104226
acct,alzretn,0.0125,8,68,0.085,99415,99415,43822,0,11296,99415
acct,alzretn,0.0125,9,69,0.085,93219,93219,30802,0,12256,93219
acct,alzretn,0.0125,10,70,0,78756,78756,16601,0,13298,78756
acct,alzretn,0.0125,11,71,0.085,69954,69954,2361,0,13298,69954
acct,alzretn,0.0125,12,72,0.085,59297,59297,0,0,14428,59297
acct,alzretn,0.0125,13,73,0,42901,42901,0,0,15655,42901
acct,alzretn,0.0125,14,74,0.085,28980,28980,0,0,15655,28980
acct,alzretn,0.0125,15,75,0.085,12622,12622,0,0,16985,12622
acct,alzretn,0.0125,16,76,0,0,0,0,0,18429,0
acct,alzretn,0.0125,17,77,0.085,0,0,0,0,18429,0
acct,alzretn,0.0125,18,78,0.085,0,0,0,0,19996,0
acct,alzretn,0.0125,19,79,0.085,0,0,0,0,21695,0
acct,alzretn,0.0125,20,80,0,0,0,0,0,23539,0
acct,alzretn,0.0125,21,81,0.085,0,0,0,0,23539,0
acct,alzretn,0.0125,22,82,0.085,0,0,0,0,25540,0
acct,alzretn,0.0125,23,83,0,0,0,0,0,27711,0
acct,alzretn,0.0125,24,84,0.085,0,0,0,0,27711,0
acct,alzretn,0.0125,25,85,0.085,0,0,0,0,30066,0
acct,alzretn,0.0125,26,86,0,0,0,0,0,32622,0
acct,alzretn,0.0125,27,87,0.085,0,0,0,0,32622,0
acct,alzretn,0.0125,28,88,0.085,0,0,0,0,35395,0
acct,alzretn,0.0125,29,89,0.085,0,0,0,0,38403,0
acct,alzretn,0.0125,30,90,0,0,0,0,0,41668,0
