Fee,Year,Age,Interest,Credit,Benefit,Account,Income
0.011,0,60,0,0,100000,100000,0
0.011,1,61,0.0252,0.0504,105040,101365,0
0.011,2,62,0.1263,0.2526,131573,112720,0
0.011,3,63,0,0,131573,111272,0
0.011,4,64,0.0488,0.0976,144415,115114,0
0.011,5,65,0.0288,0.0576,152733,116749,9469
0.011,6,66,0.0252,0.0252,156582,108666,9708
0.011,7,67,0.1263,0.1263,176358,110111,10934
0.011,8,68,0,0,176358,97965,10934
0.011,9,69,0.0488,0.0488,184964,90148,11468
0.011,10,70,0.0288,0.0288,190291,79926,11798
0.011,11,71,0.1383,0.1383,216609,76549,13430
0.011,12,72,0,0,216609,62277,13430
0.011,13,73,0.0227,0.0227,221526,49256,13735
0.011,14,74,0.0604,0.0604,234906,37092,14564
0.011,15,75,0.1683,0.1683,274440,25843,17015
0.011,16,76,0.033,0.033,283497,8825,17577
0.011,17,77,0.0624,0.0624,283497,0,17577
0.011,18,78,0.0455,0.0455,283497,0,17577
0.011,19,79,0.0488,0.0455,283497,0,17577
0.011,20,80,0.0288,0.0455,283497,0,17577
0.011,21,81,0.0252,0.0455,283497,0,17577
0.011,22,82,0.1263,0.0455,283497,0,17577
0.011,23,83,0,0.0455,283497,0,17577
0.011,24,84,0.0488,0.0455,283497,0,17577
0.011,25,85,0.0288,0.0455,283497,0,17577
0.011,26,86,0.1383,0.0455,283497,0,17577
0.011,27,87,0,0.0455,283497,0,17577
