Year,Age,Returns,Interest,Account,Cash,Surrender,Withdrawal,Income,Death
0,60,0,0,100000,100000,100000,0,0,100000
1,61,0.1,0.08,106650,98118,87596,0.052,0,106650
2,62,0.1,0.08,113742,105780,87609,0.0575,0,113742
3,63,-0.1,0,112320,105581,87533,0.063,0,112320
4,64,0.1,0.08,119790,113800,87474,0.0685,0,119790
5,65,0.1,0.08,118182,113455,78319,0.074,8864,118182
6,66,-0.1,0,107131,103917,68321,0,9574,107131
7,67,0.1,0.08,103916,103916,58308,0,9574,103916
8,68,0.1,0.08,99660,99660,47402,0,10339,99660
9,69,0.1,0.08,94227,94227,35541,0,11167,94227
10,70,-0.1,0,80989,80989,22657,0,12060,80989
11,71,0.1,0.08,73350,73350,9740,0,12060,73350
12,72,0.1,0.08,64161,64161,0,0,13025,64161
13,73,-0.1,0,49293,49293,0,0,14067,49293
14,74,0.1,0.08,37379,37379,0,0,14067,37379
15,75,0.1,0.08,23457,23457,0,0,15192,23457
16,76,-0.1,0,6756,6756,0,0,16407,6756
17,77,0.1,0.08,0,0,0,0,16407,0
18,78,0.1,0.08,0,0,0,0,17720,0
19,79,0.1,0.08,0,0,0,0,19138,0
20,80,-0.1,0,0,0,0,0,20669,0
21,81,0.1,0.08,0,0,0,0,20669,0
22,82,0.1,0.08,0,0,0,0,22322,0
23,83,-0.1,0,0,0,0,0,24108,0
24,84,0.1,0.08,0,0,0,0,24108,0
25,85,0.1,0.08,0,0,0,0,26037,0
26,86,-0.1,0,0,0,0,0,28120,0
27,87,0.1,0.08,0,0,0,0,28120,0
28,88,0.1,0.08,0,0,0,0,30369,0
29,89,0.1,0.08,0,0,0,0,32799,0
30,90,-0.1,0,0,0,0,0,35422,0
