Year,Age,Returns,Interest,Account,Cash,Surrender,Withdrawal,Income,Death
0,60,0,0,100000,100000,100000,0,0,100000
1,61,0.1,0.085,107144,100715,87596,0.068,0,107144
2,62,0.1,0.085,114798,109058,87603,0.0735,0,114798
3,63,-0.1,0,113363,108828,87514,0.079,0,113363
4,64,0.1,0.085,121461,117817,87441,0.0845,0,121461
5,65,0.1,0.085,118277,115912,76165,0.09,10932,118277
6,66,-0.1,0,105867,104809,64754,0,10932,105867
7,67,0.1,0.085,101570,101570,53322,0,10932,101570
8,68,0.1,0.085,96965,96965,41767,0,10932,96965
9,69,0.1,0.085,92031,92031,30091,0,10932,92031
10,70,-0.1,0,79949,79949,18297,0,10932,79949
11,71,0.1,0.085,73800,73800,6472,0,10932,73800
12,72,0.1,0.085,67211,67211,0,0,10932,67211
13,73,-0.1,0,55440,55440,0,0,10932,55440
14,74,0.1,0.085,47539,47539,0,0,10932,47539
15,75,0.1,0.085,39075,39075,0,0,10932,39075
16,76,-0.1,0,27655,27655,0,0,10932,27655
17,77,0.1,0.085,17770,17770,0,0,10932,17770
18,78,0.1,0.085,7179,7179,0,0,10932,7179
19,79,0.1,0.085,0,0,0,0,10932,0
20,80,-0.1,0,0,0,0,0,10932,0
21,81,0.1,0.085,0,0,0,0,10932,0
22,82,0.1,0.085,0,0,0,0,10932,0
23,83,-0.1,0,0,0,0,0,10932,0
24,84,0.1,0.085,0,0,0,0,10932,0
25,85,0.1,0.085,0,0,0,0,10932,0
26,86,-0.1,0,0,0,0,0,10932,0
27,87,0.1,0.085,0,0,0,0,10932,0
28,88,0.1,0.085,0,0,0,0,10932,0
29,89,0.1,0.085,0,0,0,0,10932,0
30,90,-0.1,0,0,0,0,0,10932,0
