Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.16,0.93,0.045,113738,105776,0,113738
2,62,0.06,0.06,0.93,0.049,118211,109937,0,118211
3,63,-0.23,-0.1,0.94,0.053,104316,98057,0,104316
4,64,-0.07,-0.07,0.95,0.057,95122,90366,0,95122
5,65,0.09,0.06,0.96,0.0745,98863,94908,7365,98863
6,66,0.24,0.06,0.97,0.0745,94944,92096,7365,94944
7,67,0.06,0.06,1,0.0745,90871,90871,7365,90871
8,68,-0.23,0,1,0.0745,81734,81734,7365,81734
9,69,-0.07,0,1,0.0745,72775,72775,7365,72775
10,70,0.09,0.06,1,0.0745,67830,67830,7365,67830
11,71,0.24,0.06,1,0.0745,62690,62690,7365,62690
12,72,0.06,0.06,1,0.0745,57348,57348,7365,57348
13,73,-0.23,0,1,0.0745,48865,48865,7365,48865
14,74,-0.07,0,1,0.0745,40547,40547,7365,40547
15,75,0.09,0.06,1,0.0745,34334,34334,7365,34334
16,76,0.24,0.06,1,0.0745,27877,27877,7365,27877
17,77,0.06,0.06,1,0.0745,21167,21167,7365,21167
18,78,-0.23,0,1,0.0745,13389,13389,7365,13389
19,79,-0.07,0,1,0.0745,5762,5762,7365,5762
20,80,0.09,0.06,1,0.0745,0,0,7365,0
21,81,0.24,0.06,1,0.0745,0,0,7365,0
22,82,0.06,0.06,1,0.0745,0,0,7365,0
23,83,-0.23,0,1,0.0745,0,0,7365,0
24,84,-0.07,0,1,0.0745,0,0,7365,0
25,85,0.09,0.06,1,0.0745,0,0,7365,0
26,86,0.24,0.06,1,0.0745,0,0,7365,0
27,87,0.06,0.06,1,0.0745,0,0,7365,0
28,88,-0.23,0,1,0.0745,0,0,7365,0
29,89,-0.07,0,1,0.0745,0,0,7365,0
30,90,0.09,0.06,1,0.0745,0,0,7365,0
