Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.16,0.93,0.045,113738,105776,0,113738
2,62,0.06,0.06,0.93,0.049,118211,109937,0,118211
3,63,-0.23,-0.1,0.94,0.053,104316,98057,0,104316
4,64,-0.07,-0.07,0.95,0.057,95122,90366,0,95122
5,65,0.09,0.09,0.96,0.0615,101661,97594,6252,101661
6,66,0.24,0.06,0.97,0.0615,99032,96061,6627,99032
7,67,0.06,0.06,1,0.0615,95902,95902,7025,95902
8,68,-0.23,0,1,0.0615,87007,87007,7025,87007
9,69,-0.07,0,1,0.0615,78285,78285,7025,78285
10,70,0.09,0.06,1,0.0615,73918,73918,7446,73918
11,71,0.24,0.06,1,0.0615,68932,68932,7893,68932
12,72,0.06,0.06,1,0.0615,63276,63276,8367,63276
13,73,-0.23,0,1,0.0615,53676,53676,8367,53676
14,74,-0.07,0,1,0.0615,44262,44262,8367,44262
15,75,0.09,0.06,1,0.0615,37134,37134,8869,37134
16,76,0.24,0.06,1,0.0615,29194,29194,9401,29194
17,77,0.06,0.06,1,0.0615,20377,20377,9965,20377
18,78,-0.23,0,1,0.0615,10015,10015,9965,10015
19,79,-0.07,0,1,0.0615,0,0,9965,0
20,80,0.09,0.06,1,0.0615,0,0,10563,0
21,81,0.24,0.06,1,0.0615,0,0,11197,0
22,82,0.06,0.06,1,0.0615,0,0,11868,0
23,83,-0.23,0,1,0.0615,0,0,11868,0
24,84,-0.07,0,1,0.0615,0,0,11868,0
25,85,0.09,0.06,1,0.0615,0,0,12581,0
26,86,0.24,0.06,1,0.0615,0,0,13335,0
27,87,0.06,0.06,1,0.0615,0,0,14135,0
28,88,-0.23,0,1,0.0615,0,0,14135,0
29,89,-0.07,0,1,0.0615,0,0,14135,0
30,90,0.09,0.06,1,0.0615,0,0,14984,0
