Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.24,0.93,0.045,122050,113507,0,122050
2,62,0.06,0.06,0.93,0.049,126993,118104,0,126993
3,63,-0.23,-0.13,0.94,0.053,108008,101527,0,108008
4,64,-0.07,0,0.95,0.057,105901,100606,0,105901
5,65,0.09,0.09,0.96,0.0745,113367,108833,8446,113367
6,66,0.24,0.06,0.97,0.0745,109513,106228,8446,109513
7,67,0.06,0.06,1,0.0745,105502,105502,8446,105502
8,68,-0.23,0,1,0.0745,94999,94999,8446,94999
9,69,-0.07,0,1,0.0745,84701,84701,8446,84701
10,70,0.09,0.06,1,0.0745,79685,79685,8446,79685
11,71,0.24,0.06,1,0.0745,74467,74467,8446,74467
12,72,0.06,0.06,1,0.0745,69037,69037,8446,69037
13,73,-0.23,0,1,0.0745,59245,59245,8446,59245
14,74,-0.07,0,1,0.0745,49644,49644,8446,49644
15,75,0.09,0.06,1,0.0745,43208,43208,8446,43208
16,76,0.24,0.06,1,0.0745,36512,36512,8446,36512
17,77,0.06,0.06,1,0.0745,29545,29545,8446,29545
18,78,-0.23,0,1,0.0745,20523,20523,8446,20523
19,79,-0.07,0,1,0.0745,11677,11677,8446,11677
20,80,0.09,0.06,1,0.0745,3704,3704,8446,3704
21,81,0.24,0.06,1,0.0745,0,0,8446,0
22,82,0.06,0.06,1,0.0745,0,0,8446,0
23,83,-0.23,0,1,0.0745,0,0,8446,0
24,84,-0.07,0,1,0.0745,0,0,8446,0
25,85,0.09,0.06,1,0.0745,0,0,8446,0
26,86,0.24,0.06,1,0.0745,0,0,8446,0
27,87,0.06,0.06,1,0.0745,0,0,8446,0
28,88,-0.23,0,1,0.0745,0,0,8446,0
29,89,-0.07,0,1,0.0745,0,0,8446,0
30,90,0.09,0.06,1,0.0745,0,0,8446,0
