Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.24,0.93,0.045,121582,113071,0,121582
2,62,0.06,0.06,0.93,0.049,126364,117518,0,126364
3,63,-0.23,-0.13,0.94,0.053,107793,101325,0,107793
4,64,0.13,0.13,0.95,0.057,119431,113459,0,119431
5,65,0.09,0.06,0.96,0.0615,116342,111688,7345,116342
6,66,0.24,0.06,0.97,0.0615,112665,109285,7786,112665
7,67,0.06,0.06,1,0.0615,108348,108348,8253,108348
8,68,-0.23,0,1,0.0615,97983,97983,8253,97983
9,69,-0.07,0,1,0.0615,87819,87819,8253,87819
10,70,0.09,0.06,1,0.0615,82000,82000,8748,82000
11,71,0.24,0.06,1,0.0615,75396,75396,9273,75396
12,72,0.06,0.06,1,0.0615,67942,67942,9829,67942
13,73,-0.23,0,1,0.0615,56788,56788,9829,56788
14,74,-0.07,0,1,0.0615,45852,45852,9829,45852
15,75,0.09,0.06,1,0.0615,36611,36611,10419,36611
16,76,0.24,0.06,1,0.0615,26344,26344,11044,26344
17,77,0.06,0.06,1,0.0615,14971,14971,11707,14971
18,78,-0.23,0,1,0.0615,2972,2972,11707,2972
19,79,-0.07,0,1,0.0615,0,0,11707,0
20,80,0.09,0.06,1,0.0615,0,0,12409,0
21,81,0.24,0.06,1,0.0615,0,0,13154,0
22,82,0.06,0.06,1,0.0615,0,0,13943,0
23,83,-0.23,0,1,0.0615,0,0,13943,0
24,84,-0.07,0,1,0.0615,0,0,13943,0
25,85,0.09,0.06,1,0.0615,0,0,14780,0
26,86,0.24,0.06,1,0.0615,0,0,15666,0
27,87,0.06,0.06,1,0.0615,0,0,16606,0
28,88,-0.23,0,1,0.0615,0,0,16606,0
29,89,-0.07,0,1,0.0615,0,0,16606,0
30,90,0.09,0.06,1,0.0615,0,0,17603,0
