Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.14,0.93,0.045,111777,103953,0,111777
2,62,0.06,0.14,0.93,0.049,124941,116195,0,124941
3,63,-0.23,-0.13,0.94,0.053,106579,100184,0,106579
4,64,-0.07,0,0.95,0.057,104501,99276,0,104501
5,65,0.09,0.056,0.96,0.0745,99980,95980,7785,99980
6,66,0.24,0.056,0.97,0.0745,95298,92439,7785,95298
7,67,0.06,0.056,1,0.0745,90451,90451,7785,90451
8,68,-0.23,0,1,0.0745,80902,80902,7785,80902
9,69,-0.07,0,1,0.0745,71539,71539,7785,71539
10,70,0.09,0.056,1,0.0745,65851,65851,7785,65851
11,71,0.24,0.056,1,0.0745,59962,59962,7785,59962
12,72,0.06,0.056,1,0.0745,53863,53863,7785,53863
13,73,-0.23,0,1,0.0745,45028,45028,7785,45028
14,74,-0.07,0,1,0.0745,36364,36364,7785,36364
15,75,0.09,0.056,1,0.0745,29431,29431,7785,29431
16,76,0.24,0.056,1,0.0745,22252,22252,7785,22252
17,77,0.06,0.056,1,0.0745,14818,14818,7785,14818
18,78,-0.23,0,1,0.0745,6744,6744,7785,6744
19,79,-0.07,0,1,0.0745,0,0,7785,0
20,80,0.09,0.056,1,0.0745,0,0,7785,0
21,81,0.24,0.056,1,0.0745,0,0,7785,0
22,82,0.06,0.056,1,0.0745,0,0,7785,0
23,83,-0.23,0,1,0.0745,0,0,7785,0
24,84,-0.07,0,1,0.0745,0,0,7785,0
25,85,0.09,0.056,1,0.0745,0,0,7785,0
26,86,0.24,0.056,1,0.0745,0,0,7785,0
27,87,0.06,0.056,1,0.0745,0,0,7785,0
28,88,-0.23,0,1,0.0745,0,0,7785,0
29,89,-0.07,0,1,0.0745,0,0,7785,0
30,90,0.09,0.056,1,0.0745,0,0,7785,0
