Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.14,0.93,0.045,111777,103953,0,111777
2,62,0.06,0.14,0.93,0.049,124941,116195,0,124941
3,63,-0.23,-0.13,0.94,0.053,106579,100184,0,106579
4,64,-0.07,0,0.95,0.057,104501,99276,0,104501
5,65,0.09,0.056,0.96,0.0615,101414,97358,6427,101414
6,66,0.24,0.056,0.97,0.0615,97838,94903,6787,97838
7,67,0.06,0.056,1,0.0615,93734,93734,7167,93734
8,68,-0.23,0,1,0.0615,84740,84740,7167,84740
9,69,-0.07,0,1,0.0615,75921,75921,7167,75921
10,70,0.09,0.056,1,0.0615,70617,70617,7568,70617
11,71,0.24,0.056,1,0.0615,64678,64678,7992,64678
12,72,0.06,0.056,1,0.0615,58056,58056,8439,58056
13,73,-0.23,0,1,0.0615,48485,48485,8439,48485
14,74,-0.07,0,1,0.0615,39100,39100,8439,39100
15,75,0.09,0.056,1,0.0615,31073,31073,8912,31073
16,76,0.24,0.056,1,0.0615,22235,22235,9411,22235
17,77,0.06,0.056,1,0.0615,12528,12528,9938,12528
18,78,-0.23,0,1,0.0615,2345,2345,9938,2345
19,79,-0.07,0,1,0.0615,0,0,9938,0
20,80,0.09,0.056,1,0.0615,0,0,10495,0
21,81,0.24,0.056,1,0.0615,0,0,11082,0
22,82,0.06,0.056,1,0.0615,0,0,11703,0
23,83,-0.23,0,1,0.0615,0,0,11703,0
24,84,-0.07,0,1,0.0615,0,0,11703,0
25,85,0.09,0.056,1,0.0615,0,0,12358,0
26,86,0.24,0.056,1,0.0615,0,0,13050,0
27,87,0.06,0.056,1,0.0615,0,0,13781,0
28,88,-0.23,0,1,0.0615,0,0,13781,0
29,89,-0.07,0,1,0.0615,0,0,13781,0
30,90,0.09,0.056,1,0.0615,0,0,14553,0
