Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.056,0.93,0.045,103541,96293,0,103541
2,62,0.06,0.056,0.93,0.049,107207,99702,0,107207
3,63,-0.23,0,0.94,0.053,105116,98809,0,105116
4,64,-0.07,0,0.95,0.057,103067,97913,0,103067
5,65,0.09,0.056,0.96,0.0745,98608,94663,7678,98608
6,66,0.24,0.056,0.97,0.0745,93991,91171,7678,93991
7,67,0.06,0.056,1,0.0745,89210,89210,7678,89210
8,68,-0.23,0,1,0.0745,79792,79792,7678,79792
9,69,-0.07,0,1,0.0745,70558,70558,7678,70558
10,70,0.09,0.056,1,0.0745,64948,64948,7678,64948
11,71,0.24,0.056,1,0.0745,59139,59139,7678,59139
12,72,0.06,0.056,1,0.0745,53124,53124,7678,53124
13,73,-0.23,0,1,0.0745,44410,44410,7678,44410
14,74,-0.07,0,1,0.0745,35865,35865,7678,35865
15,75,0.09,0.056,1,0.0745,29027,29027,7678,29027
16,76,0.24,0.056,1,0.0745,21946,21946,7678,21946
17,77,0.06,0.056,1,0.0745,14615,14615,7678,14615
18,78,-0.23,0,1,0.0745,6651,6651,7678,6651
19,79,-0.07,0,1,0.0745,0,0,7678,0
20,80,0.09,0.056,1,0.0745,0,0,7678,0
21,81,0.24,0.056,1,0.0745,0,0,7678,0
22,82,0.06,0.056,1,0.0745,0,0,7678,0
23,83,-0.23,0,1,0.0745,0,0,7678,0
24,84,-0.07,0,1,0.0745,0,0,7678,0
25,85,0.09,0.056,1,0.0745,0,0,7678,0
26,86,0.24,0.056,1,0.0745,0,0,7678,0
27,87,0.06,0.056,1,0.0745,0,0,7678,0
28,88,-0.23,0,1,0.0745,0,0,7678,0
29,89,-0.07,0,1,0.0745,0,0,7678,0
30,90,0.09,0.056,1,0.0745,0,0,7678,0
