Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.06,0.93,0.045,103933,96658,0,103933
2,62,0.06,0.06,0.93,0.049,108021,100459,0,108021
3,63,-0.23,0,0.94,0.053,105914,99559,0,105914
4,64,-0.07,0,0.95,0.057,103849,98657,0,103849
5,65,0.09,0.06,0.96,0.0615,107933,103616,6638,107933
6,66,0.24,0.06,0.97,0.0615,105142,101988,7036,105142
7,67,0.06,0.06,1,0.0615,101819,101819,7458,101819
8,68,-0.23,0,1,0.0615,92375,92375,7458,92375
9,69,-0.07,0,1,0.0615,83116,83116,7458,83116
10,70,0.09,0.06,1,0.0615,78479,78479,7906,78479
11,71,0.24,0.06,1,0.0615,73185,73185,8380,73185
12,72,0.06,0.06,1,0.0615,67180,67180,8883,67180
13,73,-0.23,0,1,0.0615,56987,56987,8883,56987
14,74,-0.07,0,1,0.0615,46993,46993,8883,46993
15,75,0.09,0.06,1,0.0615,39425,39425,9416,39425
16,76,0.24,0.06,1,0.0615,30995,30995,9981,30995
17,77,0.06,0.06,1,0.0615,21634,21634,10580,21634
18,78,-0.23,0,1,0.0615,10633,10633,10580,10633
19,79,-0.07,0,1,0.0615,0,0,10580,0
20,80,0.09,0.06,1,0.0615,0,0,11215,0
21,81,0.24,0.06,1,0.0615,0,0,11887,0
22,82,0.06,0.06,1,0.0615,0,0,12601,0
23,83,-0.23,0,1,0.0615,0,0,12601,0
24,84,-0.07,0,1,0.0615,0,0,12601,0
25,85,0.09,0.06,1,0.0615,0,0,13357,0
26,86,0.24,0.06,1,0.0615,0,0,14158,0
27,87,0.06,0.06,1,0.0615,0,0,15008,0
28,88,-0.23,0,1,0.0615,0,0,15008,0
29,89,-0.07,0,1,0.0615,0,0,15008,0
30,90,0.09,0.06,1,0.0615,0,0,15908,0
