Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.056,0.93,0.045,103541,96293,0,103541
2,62,0.06,0.056,0.93,0.049,107207,99702,0,107207
3,63,-0.23,0,0.94,0.053,105116,98809,0,105116
4,64,-0.07,0,0.95,0.057,103067,97913,0,103067
5,65,0.09,0.056,0.96,0.0745,106716,102447,7950,106716
6,66,0.24,0.056,0.97,0.0745,102099,99036,7950,102099
7,67,0.06,0.056,1,0.0745,97319,97319,7950,97319
8,68,-0.23,0,1,0.0745,87471,87471,7950,87471
9,69,-0.07,0,1,0.0745,77815,77815,7950,77815
10,70,0.09,0.056,1,0.0745,72174,72174,7950,72174
11,71,0.24,0.056,1,0.0745,66334,66334,7950,66334
12,72,0.06,0.056,1,0.0745,60287,60287,7950,60287
13,73,-0.23,0,1,0.0745,51161,51161,7950,51161
14,74,-0.07,0,1,0.0745,42213,42213,7950,42213
15,75,0.09,0.056,1,0.0745,35313,35313,7950,35313
16,76,0.24,0.056,1,0.0745,28167,28167,7950,28167
17,77,0.06,0.056,1,0.0745,20769,20769,7950,20769
18,78,-0.23,0,1,0.0745,12414,12414,7950,12414
19,79,-0.07,0,1,0.0745,4221,4221,7950,4221
20,80,0.09,0.056,1,0.0745,0,0,7950,0
21,81,0.24,0.056,1,0.0745,0,0,7950,0
22,82,0.06,0.056,1,0.0745,0,0,7950,0
23,83,-0.23,0,1,0.0745,0,0,7950,0
24,84,-0.07,0,1,0.0745,0,0,7950,0
25,85,0.09,0.056,1,0.0745,0,0,7950,0
26,86,0.24,0.056,1,0.0745,0,0,7950,0
27,87,0.06,0.056,1,0.0745,0,0,7950,0
28,88,-0.23,0,1,0.0745,0,0,7950,0
29,89,-0.07,0,1,0.0745,0,0,7950,0
30,90,0.09,0.056,1,0.0745,0,0,7950,0
