Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.056,0.93,0.045,103650,96395,0,103650
2,62,0.06,0.056,0.93,0.049,107433,99913,0,107433
3,63,-0.23,0,0.94,0.053,105338,99018,0,105338
4,64,-0.07,0,0.95,0.057,103284,98120,0,103284
5,65,0.09,0.056,0.96,0.0615,107054,102772,6584,107054
6,66,0.24,0.056,0.97,0.0615,104378,101246,6953,104378
7,67,0.06,0.056,1,0.0615,101235,101235,7342,101235
8,68,-0.23,0,1,0.0615,91919,91919,7342,91919
9,69,-0.07,0,1,0.0615,82785,82785,7342,82785
10,70,0.09,0.056,1,0.0615,78465,78465,7753,78465
11,71,0.24,0.056,1,0.0615,73575,73575,8187,73575
12,72,0.06,0.056,1,0.0615,68074,68074,8646,68074
13,73,-0.23,0,1,0.0615,58101,58101,8646,58101
14,74,-0.07,0,1,0.0615,48322,48322,8646,48322
15,75,0.09,0.056,1,0.0615,41440,41440,9130,41440
16,76,0.24,0.056,1,0.0615,33823,33823,9641,33823
17,77,0.06,0.056,1,0.0615,25416,25416,10181,25416
18,78,-0.23,0,1,0.0615,14740,14740,10181,14740
19,79,-0.07,0,1,0.0615,4271,4271,10181,4271
20,80,0.09,0.056,1,0.0615,0,0,10751,0
21,81,0.24,0.056,1,0.0615,0,0,11353,0
22,82,0.06,0.056,1,0.0615,0,0,11989,0
23,83,-0.23,0,1,0.0615,0,0,11989,0
24,84,-0.07,0,1,0.0615,0,0,11989,0
25,85,0.09,0.056,1,0.0615,0,0,12660,0
26,86,0.24,0.056,1,0.0615,0,0,13369,0
27,87,0.06,0.056,1,0.0615,0,0,14118,0
28,88,-0.23,0,1,0.0615,0,0,14118,0
29,89,-0.07,0,1,0.0615,0,0,14118,0
30,90,0.09,0.056,1,0.0615,0,0,14909,0
