Year,Age,Interest,Account,Surrender,Benefit,Income
0,60,0,100000,92000,100000,0
1,61,0.0446,103360,96779,110000,0
2,62,0.0706,109457,103482,120000,0
3,63,0,108157,103232,130000,0
4,64,0.075,114869,110683,140000,0
5,65,0.075,121984,118650,150000,9600
6,66,0.075,119313,117138,150000,9600
7,67,0.075,116441,116441,150000,9600
8,68,0.075,113355,113355,150000,9600
9,69,0,102255,102255,150000,9600
10,70,0,91155,91155,150000,9600
11,71,0,80055,80055,150000,9600
12,72,0.075,74239,74239,150000,9600
13,73,0.075,67987,67987,150000,9600
14,74,0.03,58638,58638,150000,9600
15,75,0.075,51216,51216,150000,9600
16,76,0.0353,41585,41585,150000,9600
17,77,0,30485,30485,150000,9600
18,78,0.075,20951,20951,150000,9600
19,79,0.075,10703,10703,150000,9600
20,80,0,0,0,150000,9600
21,81,0.075,0,0,150000,9600
22,82,0.075,0,0,150000,9600
23,83,0.075,0,0,150000,9600
24,84,0,0,0,150000,9600
25,85,0.075,0,0,150000,9600
26,86,0.075,0,0,150000,9600
27,87,0,0,0,150000,9600
28,88,0.075,0,0,150000,9600
29,89,0.075,0,0,150000,9600
30,90,0.075,0,0,150000,9600
