Year,Age,Return,Account,Surrender,Benefit,Income,
0,60,0,100000,92000,100000,0,
1,61,0.0446,103371,96790,108920,0,
2,62,0.07,109378,103405,122920,0,
3,63,0,108148,103226,136920,0,
4,64,0.07,114350,110184,150920,0,
5,65,0.07,120845,117541,161484,9659,
6,66,0.07,117354,115213,172788,10335,
7,67,0.07,112783,112783,184883,11058,
8,68,0.07,106996,106996,184883,11833,
9,69,0,93315,93315,184883,11833,
10,70,0,79633,79633,184883,11833,
11,71,0,65952,65952,197825,11833,
12,72,0.07,55929,55929,211673,12661,
13,73,0.07,44181,44181,218023,13547,
14,74,0.03,29372,29372,233285,13953,
15,75,0.07,14165,14165,233285,14930,
16,76,0.0353,0,0,233285,14930,
17,77,0,0,0,233285,14930,
18,78,0.07,0,0,233285,14930,
19,79,0.07,0,0,233285,14930,
20,80,0,0,0,233285,14930,
21,81,0.07,0,0,233285,14930,
22,82,0.07,0,0,233285,14930,
23,83,0.07,0,0,233285,14930,
24,84,0,0,0,233285,14930,
25,85,0.07,0,0,233285,14930,
26,86,0.07,0,0,233285,14930,
27,87,0,0,0,233285,14930,
28,88,0.07,0,0,233285,14930,
29,89,0.07,0,0,233285,14930,
30,90,0.07,0,0,233285,14930,
