Year,Age,Return,Account,Surrender,Benefit,Income
0,60,0,100000,91000,100000,0
1,61,0.0446,"103,250","94,789",110000,0
2,62,0.0706,"109,219","101,261",120000,0
3,63,0,"107,789","100,909",130000,0
4,64,0.09,"115,951","109,606",140000,0
5,65,0.09,"124,736","119,049",150000,12000
6,66,0.09,"124,502","119,961",150000,12000
7,67,0.09,"124,247","120,848",150000,12000
8,68,0.09,"123,970","121,709",150000,12000
9,69,0,"113,320","112,290",150000,12000
10,70,0,"102,670","102,670",150000,12000
11,71,0,"92,020","92,020",150000,12000
12,72,0.09,"88,842","88,842",150000,12000
13,73,0.0899,"85,369","85,369",150000,12000
14,74,0.03,"77,010","77,010",150000,12000
15,75,0.09,"72,481","72,481",150000,12000
16,76,0.0353,"64,072","64,072",150000,12000
17,77,0,"53,422","53,422",150000,12000
18,78,0.09,"46,770","46,770",150000,12000
19,79,0.09,"39,520","39,520",150000,12000
20,80,0,"28,870","28,870",150000,12000
21,81,0.09,"20,008","20,008",150000,12000
22,82,0.09,"10,348","10,348",150000,12000
23,83,0.09,0,0,150000,7500
24,84,0,0,0,150000,7500
25,85,0.09,0,0,150000,7500
26,86,0.09,0,0,150000,7500
27,87,0,0,0,150000,7500
28,88,0.09,0,0,150000,7500
29,89,0.09,0,0,150000,7500
30,90,0.09,0,0,150000,7500
