Year,Age,Returns,Interest,Schedule,Rollup,Withdrawal,Account,Benefit,Surrender,Income,Death Benefit
0,60,0,0,1,0,0,100000,100000,100000,0,100000
1,61,0.24,0.145,0.93,0.06,0.066,112310,118310,104448,0,112310
2,62,0.06,0.06,0.93,0.06,0.067,116499,124310,108344,0,116499
3,63,-0.23,-0.08,0.94,0.06,0.068,104511,130310,98240,0,104511
4,64,-0.07,0,0.95,0.06,0.069,101835,136310,96743,0,101835
5,65,0.09,0.09,0.96,0,0.07,108253,136310,103923,9542,108253
6,66,0.24,0.145,0.97,0,0.07,111616,136310,108268,9542,111616
7,67,0.06,0.06,1,0,0.07,105956,136310,105956,9542,105956
8,68,-0.23,-0.08,1,0,0.07,85162,136310,85162,9542,85162
9,69,-0.07,0,1,0,0.07,72989,136310,72989,9542,72989
10,70,0.09,0.09,1,0,0.07,67468,136310,67468,9542,67468
11,71,0.24,0.145,1,0,0.07,65198,136310,65198,9542,65198
12,72,0.06,0.06,1,0,0.07,57074,136310,57074,9542,57074
13,73,-0.23,-0.08,1,0,0.07,40528,136310,40528,9542,40528
14,74,-0.07,0,1,0,0.07,28662,136310,28662,9542,28662
15,75,0.09,0.09,1,0,0.07,19457,136310,19457,9542,19457
16,76,0.24,0.145,1,0,0.07,10558,136310,10558,9542,10558
17,77,0.06,0.06,1,0,0.03,0,136310,0,4089,0
18,78,-0.23,-0.08,1,0,0.03,0,136310,0,4089,0
19,79,-0.07,0,1,0,0.03,0,136310,0,4089,0
20,80,0.09,0.09,1,0,0.03,0,136310,0,4089,0
21,81,0.24,0.145,1,0,0.03,0,136310,0,4089,0
22,82,0.06,0.06,1,0,0.03,0,136310,0,4089,0
23,83,-0.23,-0.08,1,0,0.03,0,136310,0,4089,0
24,84,-0.07,0,1,0,0.03,0,136310,0,4089,0
25,85,0.09,0.09,1,0,0.03,0,136310,0,4089,0
26,86,0.24,0.145,1,0,0.03,0,136310,0,4089,0
27,87,0.06,0.06,1,0,0.03,0,136310,0,4089,0
28,88,-0.23,-0.08,1,0,0.03,0,136310,0,4089,0
29,89,-0.07,0,1,0,0.03,0,136310,0,4089,0
30,90,0.09,0.09,1,0,0.03,0,136310,0,4089,0
