Year,Age,Returns,Interest,Schedule,Rollup,Withdrawal,Account,Benefit,Surrender,Income,Death Benefit
0,60,0,0,1,0,0,100000,100000,100000,0,100000
1,61,0.24,0.145,0.93,0.06,0.051,112310,118310,104448,0,112310
2,62,0.06,0.06,0.93,0.06,0.052,116499,124310,108344,0,116499
3,63,-0.23,-0.08,0.94,0.06,0.053,104511,130310,98240,0,104511
4,64,-0.07,0,0.95,0.06,0.054,101835,136310,96743,0,101835
5,65,0.09,0.09,0.96,0,0.055,108253,136310,103923,7497,108253
6,66,0.24,0.145,0.97,0,0.055,113661,136310,110251,7497,113661
7,67,0.06,0.06,1,0,0.055,110154,136310,110154,7497,110154
8,68,-0.23,-0.08,1,0,0.055,91040,136310,91040,7497,91040
9,69,-0.07,0,1,0,0.055,80870,136310,80870,7497,80870
10,70,0.09,0.09,1,0,0.055,78049,136310,78049,7497,78049
11,71,0.24,0.145,1,0,0.055,79286,136310,79286,7497,79286
12,72,0.06,0.06,1,0,0.055,73954,136310,73954,7497,73954
13,73,-0.23,-0.08,1,0,0.055,57986,136310,57986,7497,57986
14,74,-0.07,0,1,0,0.055,48044,136310,48044,7497,48044
15,75,0.09,0.09,1,0,0.055,42495,136310,42495,7497,42495
16,76,0.24,0.145,1,0,0.055,38822,136310,38822,7497,38822
17,77,0.06,0.06,1,0,0.055,31341,136310,31341,7497,31341
18,78,-0.23,-0.08,1,0,0.055,19076,136310,19076,7497,19076
19,79,-0.07,0,1,0,0.055,9403,136310,9403,7497,9403
20,80,0.09,0.09,1,0,0.055,642,136310,642,7497,642
21,81,0.24,0.145,1,0,0.055,0,136310,0,7497,0
22,82,0.06,0.06,1,0,0.055,0,136310,0,7497,0
23,83,-0.23,-0.08,1,0,0.055,0,136310,0,7497,0
24,84,-0.07,0,1,0,0.055,0,136310,0,7497,0
25,85,0.09,0.09,1,0,0.055,0,136310,0,7497,0
26,86,0.24,0.145,1,0,0.055,0,136310,0,7497,0
27,87,0.06,0.06,1,0,0.055,0,136310,0,7497,0
28,88,-0.23,-0.08,1,0,0.055,0,136310,0,7497,0
29,89,-0.07,0,1,0,0.055,0,136310,0,7497,0
30,90,0.09,0.09,1,0,0.055,0,136310,0,7497,0
