Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.06,0.93,0.045,103933,96658,0,103933
2,62,0.06,0.06,0.93,0.049,108021,100459,0,108021
3,63,-0.23,0,0.94,0.053,105914,99559,0,105914
4,64,-0.07,0,0.95,0.057,103849,98657,0,103849
5,65,0.09,0.06,0.96,0.0615,101163,97117,6387,101163
6,66,0.24,0.06,0.97,0.0615,97966,95027,6770,97966
7,67,0.06,0.06,1,0.0615,94212,94212,7176,94212
8,68,-0.23,0,1,0.0615,85199,85199,7176,85199
9,69,-0.07,0,1,0.0615,76362,76362,7176,76362
10,70,0.09,0.06,1,0.0615,71302,71302,7607,71302
11,71,0.24,0.06,1,0.0615,65559,65559,8063,65559
12,72,0.06,0.06,1,0.0615,59078,59078,8547,59078
13,73,-0.23,0,1,0.0615,49379,49379,8547,49379
14,74,-0.07,0,1,0.0615,39869,39869,8547,39869
15,75,0.09,0.06,1,0.0615,31834,31834,9060,31834
16,76,0.24,0.06,1,0.0615,22907,22907,9603,22907
17,77,0.06,0.06,1,0.0615,13018,13018,10179,13018
18,78,-0.23,0,1,0.0615,2584,2584,10179,2584
19,79,-0.07,0,1,0.0615,0,0,10179,0
20,80,0.09,0.06,1,0.0615,0,0,10790,0
21,81,0.24,0.06,1,0.0615,0,0,11438,0
22,82,0.06,0.06,1,0.0615,0,0,12124,0
23,83,-0.23,0,1,0.0615,0,0,12124,0
24,84,-0.07,0,1,0.0615,0,0,12124,0
25,85,0.09,0.06,1,0.0615,0,0,12851,0
26,86,0.24,0.06,1,0.0615,0,0,13622,0
27,87,0.06,0.06,1,0.0615,0,0,14440,0
28,88,-0.23,0,1,0.0615,0,0,14440,0
29,89,-0.07,0,1,0.0615,0,0,14440,0
30,90,0.09,0.06,1,0.0615,0,0,15306,0
