Year,Age,Returns,Interest,Schedule,Withdrawal,Account,Surrender,Income,Death Benefit
0,60,0,0,1,0,100000,100000,0,100000
1,61,0.24,0.056,0.93,0.045,103541,96293,0,103541
2,62,0.06,0.056,0.93,0.049,107207,99702,0,107207
3,63,-0.23,0,0.94,0.053,105116,98809,0,105116
4,64,-0.07,0,0.95,0.057,103067,97913,0,103067
5,65,0.09,0.056,0.96,0.0615,100022,96022,6339,100022
6,66,0.24,0.056,0.97,0.0615,96496,93601,6694,96496
7,67,0.06,0.056,1,0.0615,92448,92448,7068,92448
8,68,-0.23,0,1,0.0615,83577,83577,7068,83577
9,69,-0.07,0,1,0.0615,74879,74879,7068,74879
10,70,0.09,0.056,1,0.0615,69648,69648,7464,69648
11,71,0.24,0.056,1,0.0615,63790,63790,7882,63790
12,72,0.06,0.056,1,0.0615,57259,57259,8324,57259
13,73,-0.23,0,1,0.0615,47819,47819,8324,47819
14,74,-0.07,0,1,0.0615,38563,38563,8324,38563
15,75,0.09,0.056,1,0.0615,30647,30647,8790,30647
16,76,0.24,0.056,1,0.0615,21930,21930,9282,21930
17,77,0.06,0.056,1,0.0615,12356,12356,9802,12356
18,78,-0.23,0,1,0.0615,2313,2313,9802,2313
19,79,-0.07,0,1,0.0615,0,0,9802,0
20,80,0.09,0.056,1,0.0615,0,0,10351,0
21,81,0.24,0.056,1,0.0615,0,0,10930,0
22,82,0.06,0.056,1,0.0615,0,0,11542,0
23,83,-0.23,0,1,0.0615,0,0,11542,0
24,84,-0.07,0,1,0.0615,0,0,11542,0
25,85,0.09,0.056,1,0.0615,0,0,12189,0
26,86,0.24,0.056,1,0.0615,0,0,12871,0
27,87,0.06,0.056,1,0.0615,0,0,13592,0
28,88,-0.23,0,1,0.0615,0,0,13592,0
29,89,-0.07,0,1,0.0615,0,0,13592,0
30,90,0.09,0.056,1,0.0615,0,0,14353,0
