Year,Age,Returns,Interest,Schedule,Rollup,Withdrawal,Account,Benefit,Surrender,Income,Death Benefit
0,60,0,0,1,0,0.066,100000,100000,100000,0,100000
1,61,0.24,0.145,0.93,0.06,0.067,112310,118310,104448,0,112310
2,62,0.06,0.06,0.93,0.06,0.067,116499,124310,108344,0,116499
3,63,-0.23,-0.08,0.94,0.06,0.067,104511,130310,98240,0,104511
4,64,-0.07,0,0.95,0.06,0.067,101835,136310,96743,0,101835
5,65,0.09,0.09,0.96,0,0.067,99120,136310,95155,9133,99120
6,66,0.24,0.145,0.97,0,0.067,101631,136310,98582,9133,101631
7,67,0.06,0.06,1,0,0.067,95850,136310,95850,9133,95850
8,68,-0.23,-0.08,1,0,0.067,76343,136310,76343,9133,76343
9,69,-0.07,0,1,0,0.067,64639,136310,64639,9133,64639
10,70,0.09,0.09,1,0,0.067,58833,136310,58833,9133,58833
11,71,0.24,0.145,1,0,0.067,55781,136310,55781,9133,55781
12,72,0.06,0.06,1,0,0.067,47565,136310,47565,9133,47565
13,73,-0.23,-0.08,1,0,0.067,32254,136310,32254,9133,32254
14,74,-0.07,0,1,0,0.067,20854,136310,20854,9133,20854
15,75,0.09,0.09,1,0,0.067,11410,136310,11410,9133,11410
16,76,0.24,0.145,1,0,0.03,1808,136310,1808,9133,1808
17,77,0.06,0.06,1,0,0.03,0,136310,0,4089,0
18,78,-0.23,-0.08,1,0,0.03,0,136310,0,4089,0
19,79,-0.07,0,1,0,0.03,0,136310,0,4089,0
20,80,0.09,0.09,1,0,0.03,0,136310,0,4089,0
21,81,0.24,0.145,1,0,0.03,0,136310,0,4089,0
22,82,0.06,0.06,1,0,0.03,0,136310,0,4089,0
23,83,-0.23,-0.08,1,0,0.03,0,136310,0,4089,0
24,84,-0.07,0,1,0,0.03,0,136310,0,4089,0
25,85,0.09,0.09,1,0,0.03,0,136310,0,4089,0
26,86,0.24,0.145,1,0,0.03,0,136310,0,4089,0
27,87,0.06,0.06,1,0,0.03,0,136310,0,4089,0
28,88,-0.23,-0.08,1,0,0.03,0,136310,0,4089,0
29,89,-0.07,0,1,0,0.03,0,136310,0,4089,0
30,90,0.09,0.09,1,0,0.03,0,136310,0,4089,0
