Year,Age,Returns,Interest,Schedule,Rollup,Withdrawal,Account,Benefit,Surrender,Income,Death Benefit
0,60,0,0,1,0,0.066,100000,100000,100000,0,100000
1,61,0.24,0.145,0.93,0.06,0.067,112310,118310,104448,0,112310
2,62,0.06,0.06,0.93,0.06,0.067,116499,124310,108344,0,116499
3,63,-0.23,-0.13,0.94,0.06,0.067,98686,130310,92765,0,98686
4,64,-0.07,0.07,0.95,0.06,0.067,102958,136310,97810,0,102958
5,65,0.09,0.09,0.96,0,0.067,100336,136310,96323,9133,100336
6,66,0.24,0.145,0.97,0,0.067,103016,136310,99925,9133,103016
7,67,0.06,0.06,1,0,0.067,97308,136310,97308,9133,97308
8,68,-0.23,-0.13,1,0,0.067,72809,136310,72809,9133,72809
9,69,-0.07,0.07,1,0,0.067,66226,136310,66226,9133,66226
10,70,0.09,0.09,1,0,0.067,60552,136310,60552,9133,60552
11,71,0.24,0.145,1,0,0.067,57737,136310,57737,9133,57737
12,72,0.06,0.06,1,0,0.067,49625,136310,49625,9133,49625
13,73,-0.23,-0.13,1,0,0.067,31654,136310,31654,9133,31654
14,74,-0.07,0.07,1,0,0.067,22474,136310,22474,9133,22474
15,75,0.09,0.09,1,0,0.067,13164,136310,13164,9133,13164
16,76,0.24,0.145,1,0,0.03,3805,136310,3805,9133,3805
17,77,0.06,0.06,1,0,0.03,0,136310,0,4089,0
18,78,-0.23,-0.13,1,0,0.03,0,136310,0,4089,0
19,79,-0.07,0.07,1,0,0.03,0,136310,0,4089,0
20,80,0.09,0.09,1,0,0.03,0,136310,0,4089,0
21,81,0.24,0.145,1,0,0.03,0,136310,0,4089,0
22,82,0.06,0.06,1,0,0.03,0,136310,0,4089,0
23,83,-0.23,-0.13,1,0,0.03,0,136310,0,4089,0
24,84,-0.07,0.07,1,0,0.03,0,136310,0,4089,0
25,85,0.09,0.09,1,0,0.03,0,136310,0,4089,0
26,86,0.24,0.145,1,0,0.03,0,136310,0,4089,0
27,87,0.06,0.06,1,0,0.03,0,136310,0,4089,0
28,88,-0.23,-0.13,1,0,0.03,0,136310,0,4089,0
29,89,-0.07,0.07,1,0,0.03,0,136310,0,4089,0
30,90,0.09,0.09,1,0,0.03,0,136310,0,4089,0
