Year,Age,Returns,Interest,Schedule,Rollup,Withdrawal,Account,Benefit,Surrender,Income,Death Benefit
0,60,0,0,1,0,0.066,100000,100000,100000,0,100000
1,61,0.24,0.12,0.93,0.06,0.067,109810,115810,102123,0,109810
2,62,0.06,0.12,0.93,0.06,0.068,120492,126492,112058,0,120492
3,63,-0.23,-0.13,0.94,0.06,0.068,102100,132492,95974,0,102100
4,64,-0.07,0,0.95,0.06,0.068,99408,138492,94437,0,99408
5,65,0.09,0.12,0.96,0,0.068,99156,138492,95190,9417,99156
6,66,0.24,0.12,0.97,0,0.068,98876,138492,95909,9417,98876
7,67,0.06,0.12,1,0,0.068,98563,138492,98563,9417,98563
8,68,-0.23,-0.13,1,0,0.068,73575,138492,73575,9417,73575
9,69,-0.07,0,1,0,0.068,61573,138492,61573,9417,61573
10,70,0.09,0.12,1,0,0.068,57042,138492,57042,9417,57042
11,71,0.24,0.12,1,0,0.068,51998,138492,51998,9417,51998
12,72,0.06,0.12,1,0,0.068,46384,138492,46384,9417,46384
13,73,-0.23,-0.13,1,0,0.068,28540,138492,28540,9417,28540
14,74,-0.07,0,1,0,0.068,16848,138492,16848,9417,16848
15,75,0.09,0.12,1,0,0.03,7258,138492,7258,9417,7258
16,76,0.24,0.12,1,0,0.03,0,138492,0,4155,0
17,77,0.06,0.12,1,0,0.03,0,138492,0,4155,0
18,78,-0.23,-0.13,1,0,0.03,0,138492,0,4155,0
19,79,-0.07,0,1,0,0.03,0,138492,0,4155,0
20,80,0.09,0.12,1,0,0.03,0,138492,0,4155,0
21,81,0.24,0.12,1,0,0.03,0,138492,0,4155,0
22,82,0.06,0.12,1,0,0.03,0,138492,0,4155,0
23,83,-0.23,-0.13,1,0,0.03,0,138492,0,4155,0
24,84,-0.07,0,1,0,0.03,0,138492,0,4155,0
25,85,0.09,0.12,1,0,0.03,0,138492,0,4155,0
26,86,0.24,0.12,1,0,0.03,0,138492,0,4155,0
27,87,0.06,0.12,1,0,0.03,0,138492,0,4155,0
28,88,-0.23,-0.13,1,0,0.03,0,138492,0,4155,0
29,89,-0.07,0,1,0,0.03,0,138492,0,4155,0
30,90,0.09,0.12,1,0,0.03,0,138492,0,4155,0
