Year,Age,Interest,Account,Surrender,Benefit,Income
0,60,0,100000,91000,100000,0
1,61,4.46,103250,94789,110000,0
2,62,7.06,109219,101261,120000,0
3,63,0,107789,100909,130000,0
4,64,9,115951,109606,140000,0
5,65,9,124736,119049,150000,9750
6,66,9,124502,119961,150000,9750
7,67,9,124247,120848,150000,9750
8,68,9,123970,121709,150000,9750
9,69,0,113320,112285,150000,9750
10,70,0,102670,102670,150000,9750
11,71,0,92020,92020,150000,9750
12,72,9,88842,88842,150000,9750
13,73,8.99,85369,85369,150000,9750
14,74,3,77010,77010,150000,9750
15,75,9,72481,72481,150000,9750
16,76,3.53,64072,64072,150000,9750
17,77,0,53422,53422,150000,9750
18,78,9,46770,46770,150000,9750
19,79,9,39520,39520,150000,9750
20,80,0,28870,28870,150000,9750
21,81,9,20008,20008,150000,9750
22,82,9,10348,10348,150000,9750
23,83,0,0,0,150000,9750
24,84,0,0,0,150000,9750
25,85,0,0,0,150000,9750
26,86,0,0,0,150000,9750
27,87,0,0,0,150000,9750
28,88,0,0,0,150000,9750
29,89,0,0,0,150000,9750
30,90,0,0,0,150000,9750
