Year,Age,Returns,Interest,Withdrawal,Rollup,Schedule,Account,Surrender,Base,Income,Death Benefit
0,56,0,0,0,0,1,100000,100000,100000,0,100000
1,57,0.0894,0.0843,0,0.05,0.9,105780,95202,105780,0,105780
2,58,0.1194,0.1143,0,0.05,0.9,115067,103561,115067,0,115067
3,59,0.0293,0.0242,0,0.05,0.91,114803,104471,120821,0,114803
4,60,-0.1048,-0.1099,0,0.05,0.92,99062,91137,126862,0,99062
5,61,-0.0669,-0.072,0,0.05,0.94,88930,83594,133205,0,88930
6,62,0.0923,0.0872,0,0.05,0.97,93730,90918,139865,0,93730
7,63,0.0739,0.0688,0,0.05,1,97072,97072,146859,0,97072
8,64,0.0492,0.0441,0,0.05,1,98108,98108,154201,0,98108
9,65,0.1007,0.0956,0,0.05,1,104130,104130,161912,0,104130
10,66,0.126,0.1209,0.0525,0.05,1,113180,113180,170007,8925,113180
11,67,0.0864,0.0813,0.0525,0,1,109080,109080,170007,8925,109080
12,68,0.0652,0.0601,0.0525,0,1,102577,102577,170007,8925,102577
13,69,-0.0553,-0.0604,0.0525,0,1,84482,84482,170007,8925,84482
14,70,0.0876,0.0825,0.0525,0,1,78513,78513,170007,8925,78513
15,71,0.1381,0.133,0.0525,0,1,75643,75643,170007,8925,75643
16,72,0.111,0.1059,0.0525,0,1,70621,70621,170007,8925,70621
17,73,0.0617,0.0566,0.0525,0,1,62090,62090,170007,8925,62090
18,74,0.0817,0.0766,0.0525,0,1,54251,54251,170007,8925,54251
19,75,-0.0734,-0.0785,0.0525,0,1,38883,38883,170007,8925,38883
20,76,0.0807,0.0756,0.0525,0,1,29538,29538,170007,8925,29538
21,77,0.0375,0.0324,0.0525,0,1,18718,18718,170007,8925,18718
22,78,-0.0054,-0.0105,0.0525,0,1,7267,7267,170007,8925,7267
23,79,-0.0908,-0.0959,0.0525,0,1,0,0,170007,8925,0
24,80,0.0265,0.0214,0.0525,0,1,0,0,170007,8925,0
25,81,0.0204,0.0153,0.0525,0,1,0,0,170007,8925,0
26,82,0.0004,-0.0047,0.0525,0,1,0,0,170007,8925,0
27,83,-0.0545,-0.0596,0.0525,0,1,0,0,170007,8925,0
28,84,-0.4652,-0.4703,0.0525,0,1,0,0,170007,8925,0
